Order,Family,Species name,Taxonomic authority,Common name,taxon_id,assessment_id,European category,EU 27 regional category,Endemic to Europe,Endemic to EU 27,Link to assessment
Squamata,Scincidae,Ablepharus budaki,"Göçmen, Kumlutas & Tosunoglu, 1996",Snake-Eyed Skink,61450,207661575,LC,LC,No,No,https://www.iucnredlist.org/species/61450/207661575
Squamata,Scincidae,Ablepharus kitaibelii,"Bibron & Bory St-Vincent, 1833",Juniper Skink,29691,207989721,LC,LC,No,No,https://www.iucnredlist.org/species/29691/207989721
Squamata,Lacertidae,Acanthodactylus erythrurus,"(Schinz, 1833)",Spiny-footed Lizard,61456,207646900,LC,LC,No,No,https://www.iucnredlist.org/species/61456/207646900
Squamata,Lacertidae,Acanthodactylus schreiberi,"Boettger, 1878",Schreiber's Fringe-fingered Lizard,222350753,207990075,LC,NT,Yes,Yes,https://www.iucnredlist.org/species/222350753/207990075
Squamata,Lacertidae,Algyroides fitzingeri,"(Wiegmann, 1834)",Fitzinger's Algyroides,61464,137846377,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61464/137846377
Squamata,Lacertidae,Algyroides marchi,"Valverde, 1958",Spanish Algyroides,840,137842545,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/840/137842545
Squamata,Lacertidae,Algyroides moreoticus,"Bibron & Bory, 1833",Greek Algyroides,61465,137846475,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61465/137846475
Squamata,Lacertidae,Algyroides nigropunctatus,"(Duméril and Bibron, 1839)",Blue-throated Keeled Lizard,61466,137846576,LC,LC,Yes,No,https://www.iucnredlist.org/species/61466/137846576
Squamata,Gekkonidae,Alsophylax pipiens,"(Pallas, 1827)",Even-fingered Gecko,157257,213192842,NA,Not recorded,No,No,https://www.iucnredlist.org/species/157257/213192842
Squamata,Lacertidae,Anatololacerta anatolica,"(Werner, 1902)",Anatolian Rock Lizard,210079094,200125217,NT,NT,No,No,https://www.iucnredlist.org/species/210079094/200125217
Squamata,Lacertidae,Anatololacerta finikensis,"(Eiselt & Schmidtler, 1986)",,200124506,207996298,NA,NA,No,No,https://www.iucnredlist.org/species/200124506/207996298
Squamata,Lacertidae,Anatololacerta pelasgiana,"(Mertens, 1959)",,200054655,214954488,LC,LC,No,No,https://www.iucnredlist.org/species/200054655/214954488
Squamata,Anguidae,Anguis cephallonica,"Werner, 1894",Peloponnese Slow Worm,61467,137846721,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61467/137846721
Squamata,Anguidae,Anguis colchica,"(Nordmann, 1840)",Eastern Slow Worm,47113111,47113120,LC,LC,No,No,https://www.iucnredlist.org/species/47113111/47113120
Squamata,Anguidae,Anguis fragilis,"Linnaeus, 1758",Slow Worm,47113126,204902180,LC,LC,Yes,No,https://www.iucnredlist.org/species/47113126/204902180
Squamata,Anguidae,Anguis graeca,"Bedriaga, 1881",Greek Slow Worm,47113100,47113103,LC,LC,Yes,No,https://www.iucnredlist.org/species/47113100/47113103
Squamata,Anguidae,Anguis veronensis,"Pollini, 1818","
Italian Slow Worm",200055370,204091964,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/200055370/204091964
Squamata,Anolidae,Anolis carolinensis,"(Voigt, 1832)",Green Anole,64188,204880048,NA,NA,No,No,https://www.iucnredlist.org/species/64188/204880048
Squamata,Lacertidae,Archaeolacerta bedriagae,"(Camerano, 1885)",Bedriaga's Rock Lizard,61468,137846813,NT,NT,Yes,Yes,https://www.iucnredlist.org/species/61468/137846813
Squamata,Blanidae,Blanus cinereus,"(Vandelli, 1797)",Iberian Worm Lizard,204702171,137846946,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/204702171/137846946
Squamata,Blanidae,Blanus strauchi,"(Bedriaga, 1884)",Turkish Worm Lizard,200115910,266891444,LC,LC,No,No,https://www.iucnredlist.org/species/200115910/266891444
Squamata,Blanidae,Blanus vandellii,"Ceríaco & Bauer, 2018",Vandelli’s Worm Lizard,200055682,204691145,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/200055682/204691145
Squamata,Scincidae,Chalcides bedriagai,"(Boscá, 1880)",Bedriaga's Skink,61472,137847259,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61472/137847259
Squamata,Scincidae,Chalcides chalcides,"(Linnaeus, 1758)",Italian Three-toed Skink,61473,207990233,LC,LC,No,No,https://www.iucnredlist.org/species/61473/207990233
Squamata,Scincidae,Chalcides coeruleopunctatus,"Salvador, 1975",Canaryan Cylindrical Skink,200056417,201258375,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/200056417/201258375
Squamata,Scincidae,Chalcides ocellatus,"(Forskål, 1775)",Ocellated Skink,157283,207662295,LC,LC,No,No,https://www.iucnredlist.org/species/157283/207662295
Squamata,Scincidae,Chalcides parallelus,"Doumergue, 1901",Chafarinas' Skink,61484,216963527,NA,NA,No,No,https://www.iucnredlist.org/species/61484/216963527
Squamata,Scincidae,Chalcides sexlineatus,"Steindachner, 1891","Gran Canaria Skink
Gran Canaria Skink",61487,137848983,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/61487/137848983
Squamata,Scincidae,Chalcides simonyi,"Steindachner, 1891","
Lisneja",61488,137849061,DD,DD,Yes,Yes,https://www.iucnredlist.org/species/61488/137849061
Squamata,Scincidae,Chalcides striatus,"(Cuvier, 1829)","
Western Three-toed Skink",61489,137849177,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61489/137849177
Squamata,Scincidae,Chalcides viridanus,"(Gravenhorst, 1851)",Tenerife Skink,200056717,200056751,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/200056717/200056751
Squamata,Chamaeleonidae,Chamaeleo africanus,"Laurenti, 1768",Basilisk Chameleon,157273,204875915,NA,NA,No,No,https://www.iucnredlist.org/species/157273/204875915
Squamata,Chamaeleonidae,Chamaeleo chamaeleon,"(Linnaeus, 1758)",Mediterranean Chameleon,157246,207643203,NA,NA,No,No,https://www.iucnredlist.org/species/157246/207643203
Testudines,Chelydridae,Chelydra serpentina,"(Linnaeus, 1758)",Snapping Turtle,163424,222880455,NA,Not recorded,No,,https://www.iucnredlist.org/species/163424/222880455
Testudines,Emydidae,Chrysemys picta,"(Schneider, 1783)",Painted Turtle,163467,212953120,NA,Not recorded,No,No,https://www.iucnredlist.org/species/163467/212953120
Squamata,Colubridae,Coronella austriaca,"Laurenti, 1768",Smooth Snake,157284,204914315,LC,LC,No,No,https://www.iucnredlist.org/species/157284/204914315
Squamata,Colubridae,Coronella girondica,"(Daudin, 1803)",Southern Smooth Snake,61491,137849296,LC,LC,No,No,https://www.iucnredlist.org/species/61491/137849296
Squamata,Lacertidae,Dalmatolacerta oxycephala,"(Duméril and Bibron, 1839)",Sharp-snouted Rock Lizard,61528,137852805,LC,LC,Yes,No,https://www.iucnredlist.org/species/61528/137852805
Squamata,Lacertidae,Darevskia armeniaca,"(Méhely, 1909)",Armenian Lizard,164706,200126320,NA,Not recorded,No,No,https://www.iucnredlist.org/species/164706/200126320
Squamata,Lacertidae,Darevskia dahli,"(Darevsky, 1957)",,164720,207996173,NA,Not recorded,No,No,https://www.iucnredlist.org/species/164720/207996173
Squamata,Lacertidae,Darevskia lindholmi,"(Szczerbak, 1962)",Lindholm's Lizard,196003,214997837,LC,Not recorded,Yes,No,https://www.iucnredlist.org/species/196003/214997837
Squamata,Lacertidae,Darevskia praticola,"(Eversmann, 1834)",Meadow Lizard,157245,207648737,NT,NT,No,No,https://www.iucnredlist.org/species/157245/207648737
Squamata,Lacertidae,Dinarolacerta montenegrina,"Ljubisavljević, Arribas, Džukić & Carranza, 2007","
Prokletije Rock Lizard",196001,207062346,NT,Not recorded,Yes,No,https://www.iucnredlist.org/species/196001/207062346
Squamata,Lacertidae,Dinarolacerta mosorensis,"(Kolombatović, 1886)","
Mosor Rock Lizard",196002,2441186,NT,EN,Yes,No,https://www.iucnredlist.org/species/196002/2441186
Squamata,Colubridae,Dolichophis caspius,"(Gmelin, 1789)",Large Whip Snake,157267,204916174,LC,LC,No,No,https://www.iucnredlist.org/species/157267/204916174
Squamata,Colubridae,Dolichophis jugularis,"(Linnaeus, 1758)",Large Whip Snake,157294,204916461,LC,LC,No,No,https://www.iucnredlist.org/species/157294/204916461
Squamata,Colubridae,Eirenis levantinus,"Schmidtler, 1993",Levantine Dwarf Snake,61497,216964498,DD,DD,No,No,https://www.iucnredlist.org/species/61497/216964498
Squamata,Colubridae,Eirenis modestus,"(Martin, 1838)",Ring-Headed Dwarf Snake,157292,137861955,LC,LC,No,No,https://www.iucnredlist.org/species/157292/137861955
Squamata,Colubridae,Elaphe dione,"(Pallas, 1773)",Steppes Ratsnake,157275,199524634,LC,Not recorded,No,No,https://www.iucnredlist.org/species/157275/199524634
Squamata,Colubridae,Elaphe quatuorlineata,"(Lacepède, 1789)",Four-lined Snake,157264,204978521,LC,LC,Yes,No,https://www.iucnredlist.org/species/157264/204978521
Squamata,Colubridae,Elaphe sauromates,"(Pallas, 1811)",Eastern Four-Lined Ratsnake,157265,200131166,LC,LC,No,No,https://www.iucnredlist.org/species/157265/200131166
Squamata,Colubridae,Elaphe schrenckii,"Strauch, 1873",Amur Rat Snake,192165,200127570,NA,NA,No,No,https://www.iucnredlist.org/species/192165/200127570
Testudines,Emydidae,Emys orbicularis,"(Linnaeus, 1758)",European Pond Turtle,7717,207667247,NT,VU,No,No,https://www.iucnredlist.org/species/7717/207667247
Testudines,Emydidae,Emys trinacris,"Fritz, Fattizzo, Guicking, Tripepi, Pennisi, Lenk, Joger & Wink, 2005",Sicilian Pond Turtle,158469,778721,DD,DD,Yes,Yes,https://www.iucnredlist.org/species/158469/778721
Squamata,Lacertidae,Eremias arguta,"(Pallas, 1773)",Steppe-runner,157260,215068095,LC,VU,No,No,https://www.iucnredlist.org/species/157260/215068095
Squamata,Lacertidae,Eremias velox,"(Pallas, 1771)",Central Asian Racerunner,157286,207994494,VU,Not recorded,No,No,https://www.iucnredlist.org/species/157286/207994494
Squamata,Boidae,Eryx jaculus,"
(Linnaeus, 1758)",Javelin Sand Boa,157244,204911892,LC,LC,No,No,https://www.iucnredlist.org/species/157244/204911892
Squamata,Boidae,Eryx miliaris,"(Pallas, 1773)",Dwarf Sand Boa,157269,207642827,LC,Not recorded,No,No,https://www.iucnredlist.org/species/157269/207642827
Squamata,Sphaerodactylidae,Euleptes europaea,"(Gené, 1839)",European Leaf-toed Gecko,61446,207989942,LC,LC,No,No,https://www.iucnredlist.org/species/61446/207989942
Squamata,Scincidae,Eumeces schneiderii,"(Daudin, 1802)",Orange-tailed Skink,157289,207663666,DD,DD,No,No,https://www.iucnredlist.org/species/157289/207663666
Squamata,Lacertidae,Gallotia atlantica,"(Peters and Doria, 1882)",Atlantic Lizard,61500,137850299,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61500/137850299
Squamata,Lacertidae,Gallotia bravoana,"Hutterer, 1985",La Gomera Giant Lizard,61502,137850527,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/61502/137850527
Squamata,Lacertidae,Gallotia caesaris,"Lehrs, 1914",Lagarto Tizón de La Gomera y El Hierro,61503,137850681,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61503/137850681
Squamata,Lacertidae,Gallotia galloti,"(Oudart, 1839)",Tenerife Lizard,61504,137850765,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61504/137850765
Squamata,Lacertidae,Gallotia intermedia,"Barbadillo, Lacomba, Pêrez-Mellado, Sancho & López-Jurado, 1999",Tenerife Speckled Lizard,61505,207650471,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/61505/207650471
Squamata,Lacertidae,Gallotia simonyi,"(Steindachner, 1889)",El Hierro Giant Lizard,8881,137842652,VU,VU,Yes,Yes,https://www.iucnredlist.org/species/8881/137842652
Squamata,Lacertidae,Gallotia stehlini,"(Schenkel, 1901)",Gran Canaria Giant Lizard,61506,137850850,CR,CR,Yes,Yes,https://www.iucnredlist.org/species/61506/137850850
Squamata,Lacertidae,Hellenolacerta graeca,"(Bedriaga, 1886)",Greek Rock Lizard,61523,137852588,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61523/137852588
Squamata,Gekkonidae,Hemidactylus turcicus,"(Linnaeus, 1758)",Turkish Gecko,157261,205698798,LC,LC,No,No,https://www.iucnredlist.org/species/157261/205698798
Squamata,Colubridae,Hemorrhois algirus,"(Jan, 1863)",Algerian Whip Snake,183197,204877224,NA,NA,No,No,https://www.iucnredlist.org/species/183197/204877224
Squamata,Colubridae,Hemorrhois hippocrepis,"(Linnaeus, 1758)",Horseshoe Whip Snake,61509,207643905,LC,LC,No,No,https://www.iucnredlist.org/species/61509/207643905
Squamata,Colubridae,Hemorrhois nummifer,"(Reuss, 1834)",Coin-marked Snake,157270,244574857,LC,LC,No,No,https://www.iucnredlist.org/species/157270/244574857
Squamata,Colubridae,Hemorrhois ravergieri,"(Ménétries, 1832)",Spotted Whip Snake,157285,207644599,NA,NA,No,No,https://www.iucnredlist.org/species/157285/207644599
Squamata,Scincidae,Heremites auratus,"(Linnaeus, 1758)",Levant Skink,157291,207664181,LC,LC,No,No,https://www.iucnredlist.org/species/157291/207664181
Squamata,Scincidae,Heremites vittatus,"(Olivier, 1804)",Bridled Mabuya,61586,207991230,LC,LC,No,No,https://www.iucnredlist.org/species/61586/207991230
Squamata,Colubridae,Hierophis cypriensis,"(Schätti, 1985)",Cyprus Whip Snake,61443,137844254,NT,NT,Yes,Yes,https://www.iucnredlist.org/species/61443/137844254
Squamata,Colubridae,Hierophis gemonensis,"(Laurenti, 1768)",Balkan Whip Snake,61510,137851210,LC,LC,Yes,No,https://www.iucnredlist.org/species/61510/137851210
Squamata,Colubridae,Hierophis viridiflavus,"(Lacépède, 1789)",Western Whip Snake,61449,137844938,LC,LC,Yes,No,https://www.iucnredlist.org/species/61449/137844938
Squamata,Lacertidae,Iberolacerta aranica,"(Arribas, 1993)",Aran Rock Lizard,61512,137851481,NT,NT,Yes,Yes,https://www.iucnredlist.org/species/61512/137851481
Squamata,Lacertidae,Iberolacerta aurelioi,"(Arribas, 1994)",Aurelio's Rock Lizard,61513,137851611,EN,EN,Yes,No,https://www.iucnredlist.org/species/61513/137851611
Squamata,Lacertidae,Iberolacerta bonnali,"(Lantz, 1927)",Pyrenean Rock Lizard,61447,137844814,NT,NT,Yes,Yes,https://www.iucnredlist.org/species/61447/137844814
Squamata,Lacertidae,Iberolacerta cyreni,"(Müller & Helmich, 1937)",,61514,137851751,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61514/137851751
Squamata,Lacertidae,Iberolacerta galani,"Arribas, Carranza and Odierna, 2006",Galan's Rock Lizard,157271,207651727,NT,NT,Yes,Yes,https://www.iucnredlist.org/species/157271/207651727
Squamata,Lacertidae,Iberolacerta horvathi,"(Méhely, 1904)","
Horvath's Rock Lizard",61515,137851859,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61515/137851859
Squamata,Lacertidae,Iberolacerta martinezricai,"(Arribas, 1996)",Peña de Francia Rock Lizard,61516,137851947,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/61516/137851947
Squamata,Lacertidae,Iberolacerta monticola,"(Boulenger, 1905)",West Iberian Rock Lizard,61448,207652191,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61448/207652191
Squamata,Typhlopidae,Indotyphlops braminus,"(Daudin, 1803)",Brahminy Blind Snake,172704,200127917,NA,NA,No,No,https://www.iucnredlist.org/species/172704/200127917
Testudines,Kinosternidae,Kinosternon subrubrum,"(Bonaterre, 1789)",Common Mud Turtle,163435,226091949,NA,Not recorded,No,No,https://www.iucnredlist.org/species/163435/226091949
Squamata,Lacertidae,Lacerta agilis,"Linnaeus, 1758",Sand Lizard,157288,207994671,LC,LC,No,No,https://www.iucnredlist.org/species/157288/207994671
Squamata,Lacertidae,Lacerta bilineata,"Daudin, 1802",Western Green Lizard,61519,137852254,LC,LC,Yes,No,https://www.iucnredlist.org/species/61519/137852254
Squamata,Lacertidae,Lacerta citrovittata,"Werner, 1938",Tinos Green lizard,200059599,207062541,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/200059599/207062541
Squamata,Lacertidae,Lacerta diplochondrodes,"Wettstein, 1952",Rhodos Green Lizard,200059613,207062742,LC,LC,No,No,https://www.iucnredlist.org/species/200059613/207062742
Squamata,Lacertidae,Lacerta schreiberi,"Bedriaga, 1878",Iberian Emerald Lizard,11113,137842792,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/11113/137842792
Squamata,Lacertidae,Lacerta strigata,"Eichwald, 1831",Caucusus Emerald Lizard,157287,207652956,NA,Not recorded,No,No,https://www.iucnredlist.org/species/157287/207652956
Squamata,Lacertidae,Lacerta trilineata,"Bedriaga, 1886",Balkan Green Lizard,216864496,207990400,LC,LC,Yes,No,https://www.iucnredlist.org/species/216864496/207990400
Squamata,Lacertidae,Lacerta viridis,"(Laurenti, 1768)",Green Lizard,61530,207990559,LC,LC,No,No,https://www.iucnredlist.org/species/61530/207990559
Squamata,Colubridae,Lampropeltis californiae,"(Blainville, 1835)",California Kingsnake,67662524,204878214,NA,NA,No,No,https://www.iucnredlist.org/species/67662524/204878214
Squamata,Agamidae,Laudakia cypriaca,"(Daan, 1967)",Cyprus Rock Agama,213778362,213778365,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/213778362/213778365
Squamata,Agamidae,Laudakia stellio,"(Linnaeus, 1758)",Starred Agama,213773477,204680547,LC,LC,No,No,https://www.iucnredlist.org/species/213773477/204680547
Testudines,Chelydridae,Macrochelys temminckii,"(Troost in Harlan, 1835)",Alligator Snapping Turtle,12589,226092387,NA,Not recorded,No,No,https://www.iucnredlist.org/species/12589/226092387
Squamata,Colubridae,Macroprotodon brevis,"(Günther, 1862)",Iberian False Smooth Snake,61532,207750368,LC,LC,No,No,https://www.iucnredlist.org/species/61532/207750368
Squamata,Colubridae,Macroprotodon cucullatus,"(Geoffroy Saint-Hilaire, 1827)",False Smooth Snake,61533,204878846,DD,DD,No,No,https://www.iucnredlist.org/species/61533/204878846
